-0,-1
-0.002004,-0.95511
-0.004008,-0.93619
-0.006012,-0.92133
-0.008016,-0.90847
-0.01002,-0.8968
-0.012024,-0.88591
-0.014028,-0.87558
-0.016032,-0.86564
-0.018036,-0.85602
-0.02004,-0.84664
-0.022044,-0.83745
-0.024048,-0.82844
-0.026052,-0.81957
-0.028056,-0.81085
-0.03006,-0.80227
-0.032064,-0.79383
-0.034068,-0.78554
-0.036072,-0.7774
-0.038076,-0.76943
-0.04008,-0.76165
-0.042084,-0.75407
-0.044088,-0.7467
-0.046092,-0.73956
-0.048096,-0.73268
-0.0501,-0.72607
-0.052104,-0.71975
-0.054108,-0.71373
-0.056112,-0.70804
-0.058116,-0.70269
-0.06012,-0.6977
-0.062124,-0.69308
-0.064128,-0.68885
-0.066132,-0.68502
-0.068136,-0.6816
-0.07014,-0.6786
-0.072144,-0.67602
-0.074148,-0.67388
-0.076152,-0.67218
-0.078156,-0.67091
-0.08016,-0.67008
-0.082164,-0.66969
-0.18236,-0.6689
-0.18437,-0.65756
-0.18637,-0.64566
-0.18838,-0.63324
-0.19038,-0.62033
-0.19238,-0.60697
-0.19439,-0.59319
-0.19639,-0.57905
-0.1984,-0.56457
-0.2004,-0.54982
-0.2024,-0.53483
-0.20441,-0.51966
-0.20641,-0.50437
-0.20842,-0.489
-0.21042,-0.47362
-0.21242,-0.45828
-0.21443,-0.44303
-0.21643,-0.42794
-0.21844,-0.41306
-0.22044,-0.39846
-0.22244,-0.38419
-0.22445,-0.3703
-0.22645,-0.35686
-0.22846,-0.34393
-0.23046,-0.33155
-0.23246,-0.31978
-0.23447,-0.30867
-0.23647,-0.29828
-0.23848,-0.28864
-0.24048,-0.2798
-0.24248,-0.27181
-0.24449,-0.26471
-0.24649,-0.25852
-0.2485,-0.25329
-0.2505,-0.24903
-0.25251,-0.24578
-0.25451,-0.24355
-0.25651,-0.24237
-0.25852,-0.24224
-0.41082,-0.22205
-0.41283,-0.19561
-0.41483,-0.16958
-0.41683,-0.14407
-0.41884,-0.11917
-0.42084,-0.094997
-0.42285,-0.071642
-0.42485,-0.049203
-0.42685,-0.027773
-0.42886,-0.007442
-0.43086,0.011703
-0.43287,0.029578
-0.43487,0.046107
-0.43687,0.061216
-0.43888,0.074836
-0.44088,0.086905
-0.44289,0.097367
-0.44489,0.10617
-0.44689,0.11327
-0.4489,0.11863
-0.4509,0.12221
-0.45291,0.124
-0.61924,0.13881
-0.62124,0.17268
-0.62325,0.20523
-0.62525,0.23631
-0.62725,0.26581
-0.62926,0.29359
-0.63126,0.31953
-0.63327,0.34354
-0.63527,0.3655
-0.63727,0.38532
-0.63928,0.40291
-0.64128,0.41818
-0.64329,0.43108
-0.64529,0.44154
-0.64729,0.4495
-0.6493,0.45493
-0.6513,0.45779
-0.65331,0.45806
-0.82365,0.46469
-0.82565,0.5043
-0.82766,0.54172
-0.82966,0.57681
-0.83166,0.6094
-0.83367,0.63936
-0.83567,0.66657
-0.83768,0.69091
-0.83968,0.71227
-0.84168,0.73055
-0.84369,0.74568
-0.84569,0.75757
-0.8477,0.76618
-0.8497,0.77145
-0.8517,0.77336
